GP,G,A,PTS,+/-,PS,PIM,SH,GWG,Player URL
1129,498,601,1099,201,88.1,1120,3109,85,https://www.hockey-reference.com/players/a/andergl01.html
1084,455,633,1088,145,110.3,1840,3611,67,https://www.hockey-reference.com/players/f/fleurth01.html
1029,525,557,1082,52,135.9,611,3148,79,https://www.hockey-reference.com/players/s/stamkst01.html
1330,240,830,1070,165,108.6,680,1856,38,https://www.hockey-reference.com/players/s/sedinhe01.html
1111,431,638,1069,186,84.5,1589,2417,47,https://www.hockey-reference.com/players/t/tayloda01.html
1201,538,527,1065,33,125.1,2219,3530,72,https://www.hockey-reference.com/players/t/tkachke01.html
1330,385,679,1064,-79,108.0,465,3040,45,https://www.hockey-reference.com/players/w/whitnra01.html
1062,502,561,1063,167,91.2,241,2787,73,https://www.hockey-reference.com/players/m/mullejo01.html
1365,455,608,1063,-83,115.2,854,4041,72,https://www.hockey-reference.com/players/s/staaler01.html
1424,522,540,1062,-46,94.7,2905,3285,67,https://www.hockey-reference.com/players/v/verbepa01.html
1060,310,742,1052,456,160.7,1356,3050,44,https://www.hockey-reference.com/players/p/potvide01.html
1258,358,688,1046,243,98.7,932,3199,53,https://www.hockey-reference.com/players/r/richahe01.html
1306,393,648,1041,147,123.1,546,3474,86,https://www.hockey-reference.com/players/s/sedinda01.html
1294,427,613,1040,289,125.5,494,3974,81,https://www.hockey-reference.com/players/b/bergepa01.html
1077,357,679,1036,-8,75.1,919,2706,51,https://www.hockey-reference.com/players/s/smithbo01.html
1105,271,762,1033,83,104.9,504,2264,39,https://www.hockey-reference.com/players/b/backsni02.html
1134,391,642,1033,37,114.8,310,2884,66,https://www.hockey-reference.com/players/s/stlouma01.html
1238,278,755,1033,-58,89.9,970,2655,34,https://www.hockey-reference.com/players/w/weighdo01.html
990,473,559,1032,81,111.5,432,2966,66,https://www.hockey-reference.com/players/m/mogilal01.html
1316,430,599,1029,-31,103.1,1304,3585,70,https://www.hockey-reference.com/players/k/kovalal01.html
1205,247,781,1028,25,146.6,571,3640,38,https://www.hockey-reference.com/players/l/leetcbr01.html
1276,460,566,1026,186,125.8,442,3572,73,https://www.hockey-reference.com/players/p/paveljo01.html
1240,408,617,1025,172,124.7,549,3287,80,https://www.hockey-reference.com/players/e/eliaspa01.html
1122,338,686,1024,44,108.0,462,2923,52,https://www.hockey-reference.com/players/g/giroucl01.html
1188,485,537,1022,-120,83.1,718,3587,58,https://www.hockey-reference.com/players/b/bellobr01.html
1065,406,615,1021,38,94.9,510,3142,52,https://www.hockey-reference.com/players/g/gilbero01.html
1407,323,697,1020,101,68.4,3565,2047,42,https://www.hockey-reference.com/players/h/hunteda02.html
1157,282,737,1019,102,106.5,960,2559,57,https://www.hockey-reference.com/players/g/getzlry01.html
865,468,545,1013,-6,92.8,552,2664,59,https://www.hockey-reference.com/players/l/lafonpa01.html
1006,441,571,1012,203,88.0,532,2807,60,https://www.hockey-reference.com/players/l/larmest01.html
1111,500,506,1006,39,84.2,899,3445,54,https://www.hockey-reference.com/players/m/mcdonla01.html
1016,425,579,1004,298,83.6,825,3119,59,https://www.hockey-reference.com/players/p/proppbr01.html
1053,434,564,998,-30,114.0,449,3354,71,https://www.hockey-reference.com/players/t/tavarjo01.html
1248,363,632,995,5,109.5,604,2866,55,https://www.hockey-reference.com/players/s/spezzja01.html
1286,413,579,992,-155,105.0,402,3849,70,https://www.hockey-reference.com/players/k/kesseph01.html
989,402,587,989,31,109.3,399,3509,53,https://www.hockey-reference.com/players/k/kariypa01.html
1005,448,540,988,175,82.9,157,2272,59,https://www.hockey-reference.com/players/m/middlri01.html
1296,396,590,986,61,86.5,117,3946,65,https://www.hockey-reference.com/players/k/keonda01.html
1069,349,624,973,-60,91.8,624,2461,35,https://www.hockey-reference.com/players/b/bathgan01.html
1540,402,570,972,-54,96.3,1353,3945,69,https://www.hockey-reference.com/players/d/doansh01.html
978,544,422,966,18,125.3,1287,166,84,https://www.hockey-reference.com/players/r/richama01.html
1082,337,623,960,160,109.3,401,3455,64,https://www.hockey-reference.com/players/z/zettehe01.html
1349,357,602,959,-147,67.1,1228,2792,47,https://www.hockey-reference.com/players/m/mulleki01.html
1384,208,750,958,722,169.5,793,2332,29,https://www.hockey-reference.com/players/r/robinla01.html
1144,440,512,952,84,85.8,2970,2806,50,https://www.hockey-reference.com/players/t/tocchri01.html
1212,421,528,949,-140,102.4,848,3468,63,https://www.hockey-reference.com/players/l/lecavvi01.html
1651,185,763,948,351,168.5,2891,3627,31,https://www.hockey-reference.com/players/c/chelich01.html
1244,417,521,938,81,106.6,1242,3460,64,https://www.hockey-reference.com/players/a/arnotja01.html
1235,421,512,933,20,85.0,1306,3170,78,https://www.hockey-reference.com/players/t/thomast01.html
1126,298,634,932,-66,92.8,251,3451,41,https://www.hockey-reference.com/players/r/richabr01.html
1143,314,614,928,62,98.3,753,2911,48,https://www.hockey-reference.com/players/w/wheelbl01.html
1099,289,634,923,19,63.3,569,2313,34,https://www.hockey-reference.com/players/b/brotene01.html
953,314,604,918,249,111.2,228,2244,51,https://www.hockey-reference.com/players/d/datsypa01.html
657,270,645,915,582,150.9,953,3058,26,https://www.hockey-reference.com/players/o/orrbo01.html
1224,438,472,910,229,91.9,2560,2374,52,https://www.hockey-reference.com/players/r/roberga01.html
1635,196,712,908,395,169.7,2785,3238,34,https://www.hockey-reference.com/players/s/stevesc01.html
1174,416,484,900,96,95.3,752,3260,58,https://www.hockey-reference.com/players/a/amontto01.html
1258,408,490,898,-104,74.4,1288,2163,45,https://www.hockey-reference.com/players/f/ferrara01.html
1113,213,683,896,363,143.5,1429,2827,28,https://www.hockey-reference.com/players/p/parkbr01.html
1081,503,389,892,74,104.3,761,3531,78,https://www.hockey-reference.com/players/b/bondrpe01.html
1273,421,471,892,46,106.6,1392,3304,73,https://www.hockey-reference.com/players/p/perryco01.html
1107,375,513,888,-26,69.5,102,2275,40,https://www.hockey-reference.com/players/g/gorinbu01.html
973,384,503,887,290,116.3,1004,2501,75,https://www.hockey-reference.com/players/m/marchbr03.html
708,249,636,885,238,98.0,690,1693,43,https://www.hockey-reference.com/players/f/forsbpe01.html
1200,422,463,885,-40,91.6,1793,3128,53,https://www.hockey-reference.com/players/n/nolanow01.html
591,312,572,884,114,104.0,233,2010,64,https://www.hockey-reference.com/players/m/mcdavco01.html
903,420,463,883,312,81.3,623,3246,54,https://www.hockey-reference.com/players/b/barbebi01.html
1067,372,511,883,148,103.6,607,2695,69,https://www.hockey-reference.com/players/t/toewsjo01.html
1224,429,450,879,83,107.7,436,3726,82,https://www.hockey-reference.com/players/p/parisza01.html
888,356,522,878,-78,66.3,761,2229,26,https://www.hockey-reference.com/players/m/marukde01.html
926,443,433,876,-146,103.4,544,3223,64,https://www.hockey-reference.com/players/k/kovalil01.html
1117,395,474,869,6,95.5,736,3046,53,https://www.hockey-reference.com/players/n/nasluma02.html
1137,306,563,869,46,78.1,453,2804,34,https://www.hockey-reference.com/players/r/ronnicl01.html
1382,375,492,867,-64,73.3,895,2704,41,https://www.hockey-reference.com/players/l/lindetr01.html
1056,367,499,866,73,103.1,785,2783,55,https://www.hockey-reference.com/players/b/bennja01.html
1052,361,505,866,-197,62.7,507,2515,42,https://www.hockey-reference.com/players/b/boldiiv01.html
760,372,493,865,215,101.6,1398,2312,46,https://www.hockey-reference.com/players/l/lindrer01.html
968,428,435,863,254,91.3,233,2427,68,https://www.hockey-reference.com/players/c/cournyv01.html
1088,283,580,863,163,95.2,527,1525,43,https://www.hockey-reference.com/players/t/tangual01.html
1378,391,469,860,-82,72.2,487,2577,47,https://www.hockey-reference.com/players/p/prentde01.html
1263,429,427,856,51,94.3,1660,3693,77,https://www.hockey-reference.com/players/g/gueribi01.html
983,394,462,856,8,71.4,1193,2740,44,https://www.hockey-reference.com/players/s/sandsto01.html
1182,356,497,853,96,88.4,704,2843,56,https://www.hockey-reference.com/players/k/kozlovy01.html
1360,250,601,851,-7,144.1,813,3755,42,https://www.hockey-reference.com/players/b/burnsbr01.html
1068,379,472,851,9,100.2,1808,209,58,https://www.hockey-reference.com/players/l/lindste01.html
1145,203,641,844,126,121.6,1349,3091,18,https://www.hockey-reference.com/players/s/suterga01.html
919,292,551,843,-11,61.5,567,2210,41,https://www.hockey-reference.com/players/l/lysiato01.html
1194,413,429,842,43,74.3,1328,3324,63,https://www.hockey-reference.com/players/m/maclejo01.html
1270,386,456,842,-54,88.0,976,3433,56,https://www.hockey-reference.com/players/s/smythry01.html
1431,364,476,840,-37,71.4,2479,2960,56,https://www.hockey-reference.com/players/m/mellasc01.html
1269,432,406,838,15,100.4,629,3897,89,https://www.hockey-reference.com/players/c/carteje01.html
1028,325,511,836,221,58.8,911,1854,47,https://www.hockey-reference.com/players/t/toneljo01.html
853,366,469,835,344,86.6,217,3052,58,https://www.hockey-reference.com/players/l/lemaija01.html
1124,255,577,832,10,79.6,809,2024,46,https://www.hockey-reference.com/players/k/koivusa01.html
1111,363,466,829,166,64.7,1054,2396,47,https://www.hockey-reference.com/players/s/suttebr02.html
928,402,425,827,-63,64.3,260,2815,45,https://www.hockey-reference.com/players/o/ogrodjo01.html
1024,237,590,827,55,110.5,830,3297,22,https://www.hockey-reference.com/players/w/wilsodo01.html
1316,281,542,823,50,146.3,327,1387,41,https://www.hockey-reference.com/players/k/kellyre01.html
883,393,429,822,39,97.5,683,1404,75,https://www.hockey-reference.com/players/g/geoffbe01.html
812,395,427,822,-29,68.3,237,2298,36,https://www.hockey-reference.com/players/l/laroupi01.html
1145,293,529,822,54,84.7,500,2326,55,https://www.hockey-reference.com/players/s/stastpa01.html
967,406,413,819,204,98.7,501,2611,65,https://www.hockey-reference.com/players/l/leclajo01.html
1054,421,398,819,76,77.6,614,2849,72,https://www.hockey-reference.com/players/r/richest02.html
930,424,393,817,394,79.6,410,2403,50,https://www.hockey-reference.com/players/s/shuttst01.html
950,264,553,817,-69,53.5,753,2036,29,https://www.hockey-reference.com/players/s/steenth01.html
1035,407,408,815,95,108.1,492,3207,71,https://www.hockey-reference.com/players/g/gaborma01.html
946,356,458,814,-142,59.5,1759,2719,29,https://www.hockey-reference.com/players/p/paiemwi01.html
955,363,450,813,128,65.3,179,1959,47,https://www.hockey-reference.com/players/m/mcnabpe01.html
1301,220,591,811,33,141.9,981,2866,35,https://www.hockey-reference.com/players/g/gonchse01.html
