Rank,Player,Years,PTS,GP,G,A,+/-,PS,PIM,SH,GWG,Player URL
219,Olli Jokinen,1997-15,750,1231,321,429,-132,71.7,1071,3343,54,https://www.hockey-reference.com/players/j/jokinol01.html
220,Bobby Holík,1990-09,747,1314,326,421,115,72.1,1423,3345,58,https://www.hockey-reference.com/players/h/holikbo01.html
221,Steve Sullivan,1995-13,747,1011,290,457,93,81.3,587,2129,52,https://www.hockey-reference.com/players/s/sullist01.html
222,Russ Courtnall,1983-99,744,1029,297,447,-3,57.2,557,2791,40,https://www.hockey-reference.com/players/c/courtru01.html
223,Greg Adams,1984-01,743,1056,355,388,-48,62.5,321,2325,31,https://www.hockey-reference.com/players/a/adamsgr02.html
224,Mathieu Schneider,1987-10,743,1289,223,520,66,132.8,1245,3092,36,https://www.hockey-reference.com/players/s/schnema01.html
225,Mark Howe,1979-95,742,929,197,545,400,111.9,455,2132,23,https://www.hockey-reference.com/players/h/howema02.html
226,Scott Niedermayer,1991-10,740,1263,172,568,167,141.0,784,2436,39,https://www.hockey-reference.com/players/n/niedesc01.html
227,Miroslav Šatan,1995-10,735,1050,363,372,20,82.3,464,2582,50,https://www.hockey-reference.com/players/s/satanmi01.html
228,David Perron,2007-24,734,1081,300,434,12,79.8,803,2312,43,https://www.hockey-reference.com/players/p/perroda01.html
229,Andrew Brunette,1995-12,733,1110,268,465,-78,73.4,314,1516,32,https://www.hockey-reference.com/players/b/brunean01.html
230,Andrew Cassels,1989-06,732,1015,204,528,-73,57.9,410,1515,28,https://www.hockey-reference.com/players/c/cassean01.html
231,Matt Cullen,1997-19,731,1516,266,465,-24,66.0,592,2774,37,https://www.hockey-reference.com/players/c/cullema01.html
232,Bobby Carpenter,1981-99,728,1178,320,408,-82,46.1,919,2647,40,https://www.hockey-reference.com/players/c/carpebo01.html
233,Murray Oliver,1957-75,728,1127,274,454,-169,54.2,315,2907,34,https://www.hockey-reference.com/players/o/olivemu01.html
234,Mike Foligno,1979-94,727,1018,355,372,98,56.2,2047,2124,50,https://www.hockey-reference.com/players/f/foligmi01.html
235,Jason Pominville,2003-19,727,1060,293,434,44,79.5,199,2773,38,https://www.hockey-reference.com/players/p/pominja01.html
236,Cory Stillman,1994-11,727,1025,278,449,-20,73.7,489,2097,47,https://www.hockey-reference.com/players/s/stillco01.html
237,Bob Nevin,1957-76,726,1128,307,419,125,62.0,215,2428,48,https://www.hockey-reference.com/players/n/nevinbo01.html
238,Kevin Stevens,1987-02,726,874,329,397,-103,60.5,1470,2331,35,https://www.hockey-reference.com/players/s/steveke01.html
239,Ryan O'Reilly,2009-24,724,1018,268,456,-6,71.5,158,2276,37,https://www.hockey-reference.com/players/o/oreilry01.html
240,Dave Babych,1980-99,723,1195,142,581,-216,86.6,970,2791,20,https://www.hockey-reference.com/players/b/babycda01.html
241,Petr Sýkora,1995-12,721,1017,323,398,58,82.9,455,2747,58,https://www.hockey-reference.com/players/s/sykorpe01.html
242,Dave Gagner,1984-99,719,946,318,401,-65,60.9,1018,2358,36,https://www.hockey-reference.com/players/g/gagneda01.html
243,Alexei Zhamnov,1992-06,719,807,249,470,10,68.0,668,2078,34,https://www.hockey-reference.com/players/z/zhamnal01.html
244,Petr Nedvěd,1990-07,717,982,310,407,-21,65.1,708,2207,39,https://www.hockey-reference.com/players/n/nedvepe01.html
245,Martin Straka,1992-08,717,954,257,460,67,67.3,360,1713,40,https://www.hockey-reference.com/players/s/strakma01.html
246,George Armstrong,1949-71,713,1188,296,417,101,66.0,726,1748,43,https://www.hockey-reference.com/players/a/armstge01.html
247,Ziggy Pálffy,1993-06,713,684,329,384,83,88.0,322,2136,45,https://www.hockey-reference.com/players/p/palffzi01.html
248,Dustin Brown,2003-22,712,1296,325,387,-36,72.8,738,3360,42,https://www.hockey-reference.com/players/b/browndu01.html
249,Vic Hadfield,1961-77,712,1004,323,389,22,61.4,1159,2874,45,https://www.hockey-reference.com/players/h/hadfivi01.html
250,Mikko Koivu,2005-21,711,1035,206,505,68,70.3,594,2273,33,https://www.hockey-reference.com/players/k/koivumi01.html
251,Charlie Simmer,1974-88,711,712,342,369,115,60.5,544,1531,42,https://www.hockey-reference.com/players/s/simmech01.html
