Rank,Player,Years,PTS,GP,G,A,+/-,PS,PIM,SH,GWG,Player URL
50,Vincent Damphousse,1986-04,1205,1378,432,773,7,105.4,1188,3511,78,https://www.hockey-reference.com/players/d/damphvi01.html
51,Dino Ciccarelli,1980-99,1200,1232,608,592,-4,105.8,1425,3706,73,https://www.hockey-reference.com/players/c/ciccadi01.html
52,Patrick Marleau,1997-21,1197,1779,566,631,-27,133.8,527,4333,109,https://www.hockey-reference.com/players/m/marlepa01.html
53,Rod Brind'Amour,1989-10,1184,1484,452,732,-39,105.7,1100,3290,67,https://www.hockey-reference.com/players/b/brindro01.html
54,Sergei Fedorov,1990-09,1179,1248,483,696,261,125.6,839,3985,93,https://www.hockey-reference.com/players/f/fedorse01.html
55,Bobby Hull,1957-80,1170,1063,610,560,249,136.3,634,4577,98,https://www.hockey-reference.com/players/h/hullbo01.html
56,Anže Kopitar,2006-24,1166,1317,403,763,95,127.5,328,3149,68,https://www.hockey-reference.com/players/k/kopitan01.html
57,Daniel Alfredsson,1995-14,1157,1246,444,713,155,133.6,510,3471,73,https://www.hockey-reference.com/players/a/alfreda01.html
58,Michel Goulet,1979-94,1153,1089,548,605,99,96.9,825,3145,63,https://www.hockey-reference.com/players/g/goulemi01.html
59,Nicklas Lidström,1991-12,1142,1564,264,878,450,211.8,514,3875,35,https://www.hockey-reference.com/players/l/lidstni01.html
60,Marián Hossa,1997-17,1134,1309,525,609,245,144.2,628,4229,85,https://www.hockey-reference.com/players/h/hossama01.html
61,Bernie Federko,1976-90,1130,1000,369,761,-131,79.8,487,2074,40,https://www.hockey-reference.com/players/f/federbe01.html
62,Mike Bossy,1977-87,1126,752,573,553,380,110.9,210,2709,80,https://www.hockey-reference.com/players/b/bossymi01.html
63,Joe Nieuwendyk,1986-07,1126,1257,564,562,155,120.0,677,3242,93,https://www.hockey-reference.com/players/n/nieuwjo01.html
64,Darryl Sittler,1970-85,1121,1096,484,637,57,95.9,948,3815,57,https://www.hockey-reference.com/players/s/sittlda01.html
65,Frank Mahovlich,1956-74,1103,1181,533,570,266,121.7,1054,3366,82,https://www.hockey-reference.com/players/m/mahovfr01.html
66,Glenn Anderson,1980-96,1099,1129,498,601,201,88.1,1120,3109,85,https://www.hockey-reference.com/players/a/andergl01.html
67,Theo Fleury,1988-03,1088,1084,455,633,145,110.3,1840,3611,67,https://www.hockey-reference.com/players/f/fleurth01.html
68,Steven Stamkos,2008-24,1082,1029,525,557,52,135.9,611,3148,79,https://www.hockey-reference.com/players/s/stamkst01.html
69,Henrik Sedin,2000-18,1070,1330,240,830,165,108.6,680,1856,38,https://www.hockey-reference.com/players/s/sedinhe01.html
70,Dave Taylor,1977-94,1069,1111,431,638,186,84.5,1589,2417,47,https://www.hockey-reference.com/players/t/tayloda01.html
71,Keith Tkachuk,1991-10,1065,1201,538,527,33,125.1,2219,3530,72,https://www.hockey-reference.com/players/t/tkachke01.html
72,Ray Whitney,1991-14,1064,1330,385,679,-79,108.0,465,3040,45,https://www.hockey-reference.com/players/w/whitnra01.html
73,Joe Mullen,1981-97,1063,1062,502,561,167,91.2,241,2787,73,https://www.hockey-reference.com/players/m/mullejo01.html
74,Eric Staal,2003-23,1063,1365,455,608,-83,115.2,854,4041,72,https://www.hockey-reference.com/players/s/staaler01.html
75,Pat Verbeek,1982-02,1062,1424,522,540,-46,94.7,2905,3285,67,https://www.hockey-reference.com/players/v/verbepa01.html
76,Denis Potvin,1973-88,1052,1060,310,742,456,160.7,1356,3050,44,https://www.hockey-reference.com/players/p/potvide01.html
77,Henri Richard,1955-75,1046,1258,358,688,243,98.7,932,3199,53,https://www.hockey-reference.com/players/r/richahe01.html
78,Daniel Sedin,2000-18,1041,1306,393,648,147,123.1,546,3474,86,https://www.hockey-reference.com/players/s/sedinda01.html
79,Patrice Bergeron,2003-23,1040,1294,427,613,289,125.5,494,3974,81,https://www.hockey-reference.com/players/b/bergepa01.html
80,Bobby Smith,1978-93,1036,1077,357,679,-8,75.1,919,2706,51,https://www.hockey-reference.com/players/s/smithbo01.html
81,Nicklas Bäckström,2007-24,1033,1105,271,762,83,104.9,504,2264,39,https://www.hockey-reference.com/players/b/backsni02.html
82,Martin St. Louis,1998-15,1033,1134,391,642,37,114.8,310,2884,66,https://www.hockey-reference.com/players/s/stlouma01.html
83,Doug Weight,1991-11,1033,1238,278,755,-58,89.9,970,2655,34,https://www.hockey-reference.com/players/w/weighdo01.html
84,Alexander Mogilny,1989-06,1032,990,473,559,81,111.5,432,2966,66,https://www.hockey-reference.com/players/m/mogilal01.html
85,Alex Kovalev,1992-13,1029,1316,430,599,-31,103.1,1304,3585,70,https://www.hockey-reference.com/players/k/kovalal01.html
86,Brian Leetch,1987-06,1028,1205,247,781,25,146.6,571,3640,38,https://www.hockey-reference.com/players/l/leetcbr01.html
87,Joe Pavelski,2006-24,1026,1276,460,566,186,125.8,442,3572,73,https://www.hockey-reference.com/players/p/paveljo01.html
88,Patrik Eliáš,1995-16,1025,1240,408,617,172,124.7,549,3287,80,https://www.hockey-reference.com/players/e/eliaspa01.html
89,Claude Giroux,2007-24,1024,1122,338,686,44,108.0,462,2923,52,https://www.hockey-reference.com/players/g/giroucl01.html
90,Brian Bellows,1982-99,1022,1188,485,537,-120,83.1,718,3587,58,https://www.hockey-reference.com/players/b/bellobr01.html
91,Rod Gilbert,1960-78,1021,1065,406,615,38,94.9,510,3142,52,https://www.hockey-reference.com/players/g/gilbero01.html
92,Dale Hunter,1980-99,1020,1407,323,697,101,68.4,3565,2047,42,https://www.hockey-reference.com/players/h/hunteda02.html
93,Ryan Getzlaf,2005-22,1019,1157,282,737,102,106.5,960,2559,57,https://www.hockey-reference.com/players/g/getzlry01.html
94,Pat LaFontaine,1983-98,1013,865,468,545,-6,92.8,552,2664,59,https://www.hockey-reference.com/players/l/lafonpa01.html
95,Steve Larmer,1980-95,1012,1006,441,571,203,88.0,532,2807,60,https://www.hockey-reference.com/players/l/larmest01.html
96,Lanny McDonald,1973-89,1006,1111,500,506,39,84.2,899,3445,54,https://www.hockey-reference.com/players/m/mcdonla01.html
97,Brian Propp,1979-94,1004,1016,425,579,298,83.6,825,3119,59,https://www.hockey-reference.com/players/p/proppbr01.html
98,John Tavares,2009-24,998,1053,434,564,-30,114.0,449,3354,71,https://www.hockey-reference.com/players/t/tavarjo01.html
99,Jason Spezza,2002-22,995,1248,363,632,5,109.5,604,2866,55,https://www.hockey-reference.com/players/s/spezzja01.html
100,Phil Kessel,2006-23,992,1286,413,579,-155,105.0,402,3849,70,https://www.hockey-reference.com/players/k/kesseph01.html
101,Paul Kariya,1994-10,989,989,402,587,31,109.3,399,3509,53,https://www.hockey-reference.com/players/k/kariypa01.html
102,Rick Middleton,1974-88,988,1005,448,540,175,82.9,157,2272,59,https://www.hockey-reference.com/players/m/middlri01.html
103,Dave Keon,1960-82,986,1296,396,590,61,86.5,117,3946,65,https://www.hockey-reference.com/players/k/keonda01.html
104,Andy Bathgate,1952-71,973,1069,349,624,-60,91.8,624,2461,35,https://www.hockey-reference.com/players/b/bathgan01.html
105,Shane Doan,1995-17,972,1540,402,570,-54,96.3,1353,3945,69,https://www.hockey-reference.com/players/d/doansh01.html
106,Maurice Richard,1942-60,966,978,544,422,18,125.3,1287,166,84,https://www.hockey-reference.com/players/r/richama01.html
107,Henrik Zetterberg,2002-18,960,1082,337,623,160,109.3,401,3455,64,https://www.hockey-reference.com/players/z/zettehe01.html
108,Kirk Muller,1984-03,959,1349,357,602,-147,67.1,1228,2792,47,https://www.hockey-reference.com/players/m/mulleki01.html
109,Larry Robinson,1972-92,958,1384,208,750,722,169.5,793,2332,29,https://www.hockey-reference.com/players/r/robinla01.html
110,Rick Tocchet,1984-02,952,1144,440,512,84,85.8,2970,2806,50,https://www.hockey-reference.com/players/t/tocchri01.html
111,Vincent Lecavalier,1998-16,949,1212,421,528,-140,102.4,848,3468,63,https://www.hockey-reference.com/players/l/lecavvi01.html
112,Chris Chelios,1983-10,948,1651,185,763,351,168.5,2891,3627,31,https://www.hockey-reference.com/players/c/chelich01.html
113,Jason Arnott,1993-12,938,1244,417,521,81,106.6,1242,3460,64,https://www.hockey-reference.com/players/a/arnotja01.html
114,Steve Thomas,1984-04,933,1235,421,512,20,85.0,1306,3170,78,https://www.hockey-reference.com/players/t/thomast01.html
115,Brad Richards,2000-16,932,1126,298,634,-66,92.8,251,3451,41,https://www.hockey-reference.com/players/r/richabr01.html
116,Blake Wheeler,2008-24,928,1144,314,614,62,98.3,753,2911,48,https://www.hockey-reference.com/players/w/wheelbl01.html
117,Neal Broten,1980-97,923,1099,289,634,19,63.3,569,2313,34,https://www.hockey-reference.com/players/b/brotene01.html
118,Pavel Datsyuk,2001-16,918,953,314,604,249,111.2,228,2244,51,https://www.hockey-reference.com/players/d/datsypa01.html
119,Bobby Orr,1966-79,915,657,270,645,582,150.9,953,3058,26,https://www.hockey-reference.com/players/o/orrbo01.html
120,Gary Roberts,1986-09,910,1224,438,472,229,91.9,2560,2374,52,https://www.hockey-reference.com/players/r/roberga01.html
121,Scott Stevens,1982-04,908,1635,196,712,395,169.7,2785,3238,34,https://www.hockey-reference.com/players/s/stevesc01.html
122,Tony Amonte,1991-07,900,1174,416,484,96,95.3,752,3260,58,https://www.hockey-reference.com/players/a/amontto01.html
123,Ray Ferraro,1984-02,898,1258,408,490,-104,74.4,1288,2163,45,https://www.hockey-reference.com/players/f/ferrara01.html
124,Brad Park,1968-85,896,1113,213,683,363,143.5,1429,2827,28,https://www.hockey-reference.com/players/p/parkbr01.html
125,Peter Bondra,1990-07,892,1081,503,389,74,104.3,761,3531,78,https://www.hockey-reference.com/players/b/bondrpe01.html
126,Corey Perry,2005-24,892,1273,421,471,46,106.6,1392,3304,73,https://www.hockey-reference.com/players/p/perryco01.html
127,Butch Goring,1969-85,888,1107,375,513,-26,69.5,102,2275,40,https://www.hockey-reference.com/players/g/gorinbu01.html
128,Brad Marchand,2009-24,887,973,384,503,290,116.3,1004,2501,75,https://www.hockey-reference.com/players/m/marchbr03.html
