Rank,Player,YRS PL,GM/YR,PTS/GM,GLS/GM,AST/GM,Correlation Games to Points
170,Thomas Steen,14,67.86,0.86,0.28,0.58,78.9
171,Marián Gáborík,18,57.5,0.79,0.39,0.39,73.02
172,Wilf Paiement,14,67.57,0.86,0.38,0.48,78.53
173,Peter McNab,14,68.21,0.85,0.38,0.47,80.13
174,Sergei Gonchar,21,61.95,0.62,0.17,0.45,99.38
175,Pit Martin,18,61.17,0.73,0.29,0.44,83.24
176,Ken Linseman,14,61.43,0.94,0.3,0.64,65.46
177,Jakub Voráček,15,70.53,0.76,0.21,0.55,92.59
178,Milan Hejduk,15,68.0,0.79,0.37,0.42,86.16
179,Rick Nash,16,66.25,0.76,0.41,0.35,87.24
180,Garry Unger,16,69.06,0.73,0.37,0.35,94.92
181,Ken Hodge,14,62.86,0.91,0.37,0.54,69.14
182,Geoff Courtnall,17,61.65,0.76,0.35,0.41,80.86
183,Justin Williams,20,63.2,0.63,0.25,0.38,100.23
184,Nathan MacKinnon,11,66.91,1.08,0.4,0.68,61.87
185,Eddie Olczyk,16,64.44,0.77,0.33,0.44,83.67
186,Wayne Cashman,19,54.05,0.77,0.27,0.5,70.0
187,Mike Ribeiro,18,59.67,0.74,0.21,0.53,80.81
188,Dany Heatley,14,62.07,0.91,0.43,0.48,68.19
189,Thomas Vanek,14,73.5,0.77,0.36,0.4,95.86
190,Rick Vaive,13,67.38,0.9,0.5,0.4,74.91
191,Börje Salming,17,67.53,0.69,0.13,0.55,98.51
192,David Krejčí,17,60.71,0.76,0.22,0.54,79.71
193,Claude Lemieux,26,46.73,0.65,0.31,0.33,72.24
194,Alexei Yashin,14,60.71,0.92,0.4,0.52,66.08
195,Erik Karlsson,15,63.07,0.82,0.19,0.63,76.49
196,Pavel Bure,12,58.5,1.11,0.62,0.49,52.72
197,Rob Blake,21,60.48,0.61,0.19,0.42,98.85
198,Leon Draisaitl,10,66.3,1.17,0.48,0.69,56.65
199,Nikita Kucherov,11,61.09,1.15,0.44,0.72,52.9
200,Jean Pronovost,14,71.29,0.78,0.39,0.38,91.92
201,Dave Christian,15,67.27,0.77,0.34,0.43,87.8
202,Pete Mahovlich,16,55.19,0.88,0.33,0.55,63.04
203,Sergei Zubov,17,62.82,0.72,0.14,0.58,87.02
204,Todd Bertuzzi,19,61.0,0.66,0.27,0.39,91.82
205,Pavol Demitra,17,49.82,0.91,0.36,0.55,54.95
206,Rick Kehoe,14,64.71,0.85,0.41,0.44,76.44
207,Vinny Prospal,17,65.18,0.69,0.23,0.46,94.4
208,Matt Duchene,15,66.73,0.76,0.32,0.44,87.43
209,Brian Rolston,18,69.78,0.61,0.27,0.33,115.17
210,Kevin Dineen,19,62.53,0.64,0.3,0.34,97.74
211,Murray Craven,18,59.5,0.71,0.25,0.46,83.96
212,Rick MacLeish,14,60.43,0.9,0.41,0.48,67.36
213,Mike Ridley,12,72.17,0.88,0.34,0.54,82.45
214,Scott Young,19,62.16,0.64,0.29,0.35,96.97
215,Scott Gomez,17,63.47,0.7,0.17,0.53,90.59
216,Tyler Seguin,14,66.21,0.81,0.36,0.45,81.41
217,Steve Duchesne,16,69.56,0.68,0.2,0.47,102.96
218,Craig Janney,12,63.33,0.99,0.25,0.74,64.09
219,Olli Jokinen,18,68.39,0.61,0.26,0.35,112.25
220,Bobby Holík,19,69.16,0.57,0.25,0.32,121.65
221,Steve Sullivan,18,56.17,0.74,0.29,0.45,76.02
222,Russ Courtnall,16,64.31,0.72,0.29,0.43,88.95
223,Greg Adams,17,62.12,0.7,0.34,0.37,88.29
224,Mathieu Schneider,23,56.04,0.58,0.17,0.4,97.23
225,Mark Howe,16,58.06,0.8,0.21,0.59,72.7
226,Scott Niedermayer,19,66.47,0.59,0.14,0.45,113.45
227,Miroslav Šatan,15,70.0,0.7,0.35,0.35,100.0
228,David Perron,17,63.59,0.68,0.28,0.4,93.65
